CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2018
VERSION          1.0
RELEASE_DATE     12/3/2019
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

180101  01  4.173
180101  02  1.066
180101  03  0.732
180101  04  0.461
180101  05  0.447
180101  06  0.459
180101  07  0.732
180101  08  0.816
180101  09  0.847
180101  10  0.791
180101  11  0.548
180101  12  0.491
180101  13  0.695
180101  14  0.707
180101  15  1.097
180101  16  1.333
180101  17  1.448
180101  18  1.452
180101  19  2.048
180101  20  4.523
180101  21  3.916
180101  22  2.278
180101  23  1.645
180102  24  1.866
180102  01  1.221
180102  02  1.233
180102  03  0.376
180102  04  0.649
180102  05  0.762
180102  06  0.919
180102  07  1.896
180102  08  2.296
180102  09  4.203
180102  10  3.246
180102  11  3.149
180102  12  2.311
180102  13  1.201
180102  14  1.288
180102  15  1.788
180102  16  1.285
180102  17  2.062
180102  18  0.841
180102  19  0.485
180102  20  0.637
180102  21  1.012
180102  22  0.551
180102  23  0.204
180103  24  0.064
180103  01 -0.042
180103  02 -0.242
180103  03  0.004
180103  04 -0.039
180103  05  0.075
180103  06  0.340
180103  07  0.334
180103  08  1.558
180103  09  1.504
180103  10  1.311
180103  11  0.789
180103  12  0.851
180103  13  0.645
180103  14  0.816
180103  15  0.779
180103  16  0.775
180103  17  0.946
180103  18  0.759
180103  19  0.921
180103  20  0.862
180103  21  0.670
180103  22  0.822
180103  23  0.674
180104  24  0.313
180104  01  0.045
180104  02  0.317
180104  03  0.512
180104  04  0.595
180104  05  0.544
180104  06  0.981
180104  07  1.385
180104  08  1.800
180104  09  1.998
180104  10  2.047
180104  11  1.560
180104  12  1.523
180104  13  1.079
180104  14  1.939
180104  15  3.736
180104  16  3.578
180104  17  2.596
180104  18  1.441
180104  19  0.738
180104  20  1.819
180104  21  1.594
180104  22  0.722
180104  23  0.802
180105  24  0.593
180105  01  0.111
180105  02  0.346
180105  03  0.077
180105  04  0.027
180105  05  0.564
180105  06  2.962
180105  07  2.933
180105  08  3.564
180105  09  4.314
180105  10  4.545
180105  11  2.210
180105  12  1.520
180105  13  1.564
180105  14  1.921
180105  15  3.568
180105  16  3.153
180105  17  5.216
180105  18  4.989
180105  19  2.973
180105  20  3.192
180105  21  2.874
180105  22  1.752
180105  23  1.764
180106  24  2.464
180106  01  1.140
180106  02  1.621
180106  03  2.082
180106  04  2.186
180106  05  2.400
180106  06  1.925
180106  07  2.260
180106  08  2.977
180106  09  3.343
180106  10  3.727
180106  11  4.508
180106  12  4.305
180106  13  2.907
180106  14  1.049
180106  15 -0.326
180106  16  0.347
180106  17  1.233
180106  18  1.956
180106  19  1.884
180106  20  2.453
180106  21  1.593
180106  22  0.737
180106  23  0.782
180107  24  0.956
180107  01  1.062
180107  02  0.857
180107  03  0.342
180107  04  0.070
180107  05  0.036
180107  06  0.046
180107  07  0.126
180107  08  0.156
180107  09  0.386
180107  10  0.204
180107  11  0.327
180107  12  0.290
180107  13  0.461
180107  14  0.361
180107  15  0.564
180107  16  0.741
180107  17  1.071
180107  18  0.895
180107  19  0.873
180107  20  0.883
180107  21  0.651
180107  22  0.324
180107  23  0.271
180108  24  0.464
180108  01  0.512
180108  02  0.620
180108  03  0.436
180108  04  0.404
180108  05  0.466
180108  06  0.581
180108  07  0.558
180108  08  0.819
180108  09  1.755
180108  10  1.172
180108  11  1.037
180108  12  0.563
180108  13  0.618
180108  14  0.681
180108  15  0.952
180108  16  0.607
180108  17  0.580
180108  18 -0.221
180108  19  0.905
180108  20  0.596
180108  21  0.390
180108  22  0.554
180108  23  0.200
180109  24  0.037
180109  01  0.132
180109  02  0.086
180109  03 -0.134
180109  04 -0.007
180109  05 -0.008
180109  06  0.114
180109  07  0.469
180109  08  0.861
180109  09  0.856
180109  10  0.694
180109  11  1.144
180109  12  0.800
180109  13  1.023
180109  14  1.430
180109  15  1.419
180109  16  1.914
180109  17  1.561
180109  18  1.381
180109  19  0.939
180109  20  0.720
180109  21  0.752
180109  22  1.090
180109  23  1.351
180110  24  1.433
180110  01  1.530
180110  02  0.433
180110  03 -0.288
180110  04 -0.251
180110  05  0.023
180110  06 -0.027
180110  07  0.565
180110  08  1.374
180110  09  1.156
180110  10  1.231
180110  11  1.173
180110  12  1.372
180110  13  1.491
180110  14  1.859
180110  15  1.989
180110  16  3.017
180110  17  2.509
180110  18  3.003
180110  19  2.282
180110  20  2.420
180110  21  2.747
180110  22  2.800
180110  23  2.128
180111  24  2.601
180111  01  1.556
180111  02  1.660
180111  03  1.708
180111  04  1.682
180111  05  1.752
180111  06  1.656
180111  07  1.191
180111  08  2.328
180111  09  4.199
180111  10  1.844
180111  11  3.256
180111  12  2.976
180111  13  1.278
180111  14  1.497
180111  15  0.124
180111  16  1.166
180111  17  0.876
180111  18  1.150
180111  19  0.804
180111  20  0.472
180111  21  0.463
180111  22  0.376
180111  23  0.376
180112  24  0.559
180112  01  0.189
180112  02  0.141
180112  03 -0.246
180112  04 -0.425
180112  05  0.380
180112  06  0.134
180112  07  0.319
180112  08 -0.056
180112  09  1.257
180112  10  2.906
180112  11  0.618
180112  12  0.858
180112  13  1.399
180112  14  1.220
180112  15  1.487
180112  16  1.763
180112  17  1.302
180112  18  0.877
180112  19  0.978
180112  20  1.168
180112  21  1.448
180112  22  1.583
180112  23  1.350
180113  24  0.980
180113  01  0.555
180113  02  0.537
180113  03  0.386
180113  04  0.636
180113  05  0.544
180113  06  0.287
180113  07  0.541
180113  08  0.470
180113  09  0.450
180113  10  0.054
180113  11  0.014
180113  12  0.341
180113  13  0.451
180113  14  0.623
180113  15  0.357
180113  16  0.301
180113  17 -0.080
180113  18 -0.103
180113  19  0.336
180113  20  1.405
180113  21  2.242
180113  22  1.814
180113  23  1.725
180114  24  1.333
180114  01  0.106
180114  02 -0.021
180114  03  0.029
180114  04  0.064
180114  05  0.025
180114  06  0.134
180114  07  0.342
180114  08  0.436
180114  09  0.547
180114  10  0.430
180114  11  0.439
180114  12  0.120
180114  13  0.073
180114  14  0.255
180114  15  0.418
180114  16  0.735
180114  17  1.405
180114  18  1.949
180114  19  0.808
180114  20  1.487
180114  21  1.758
180114  22  1.360
180114  23  0.424
180115  24  0.165
180115  01 -0.681
180115  02 -0.681
180115  03  0.038
180115  04  0.553
180115  05  0.810
180115  06  0.750
180115  07  1.253
180115  08  2.035
180115  09  1.476
180115  10  1.719
180115  11  1.112
180115  12  0.906
180115  13  0.612
180115  14  0.699
180115  15  1.375
180115  16  1.222
180115  17  1.037
180115  18  0.657
180115  19  0.461
180115  20  0.746
180115  21  1.131
180115  22  0.867
180115  23  1.673
180116  24  0.659
180116  01  0.573
180116  02  0.673
180116  03  0.951
180116  04  0.612
180116  05  0.872
180116  06  0.888
180116  07  1.824
180116  08  2.918
180116  09  3.192
180116  10  3.977
180116  11  3.765
180116  12  2.500
180116  13  2.096
180116  14  1.626
180116  15  2.356
180116  16  2.908
180116  17  3.325
180116  18  3.984
180116  19  2.983
180116  20  3.163
180116  21  1.695
180116  22  2.351
180116  23  1.606
180117  24  1.494
180117  01  0.807
180117  02  1.283
180117  03  0.344
180117  04  0.488
180117  05  0.718
180117  06  1.091
180117  07  1.647
180117  08  2.651
180117  09  2.984
180117  10  3.090
180117  11  2.886
180117  12  2.365
180117  13  2.424
180117  14  2.040
180117  15  1.936
180117  16  2.185
180117  17  2.227
180117  18  2.762
180117  19  1.121
180117  20  1.597
180117  21  1.885
180117  22  1.161
180117  23  1.320
180118  24  1.045
180118  01  0.454
180118  02  0.466
180118  03  0.163
180118  04  0.102
180118  05 -0.258
180118  06  0.363
180118  07  0.764
180118  08  1.132
180118  09  1.976
180118  10  1.415
180118  11  1.133
180118  12  1.364
180118  13  1.847
180118  14  1.029
180118  15  1.650
180118  16  1.948
180118  17  3.194
180118  18  4.337
180118  19  4.282
180118  20  4.987
180118  21  4.698
180118  22  4.905
180118  23  2.594
180119  24  0.534
180119  01  0.304
180119  02  0.907
180119  03  0.835
180119  04  0.831
180119  05  1.770
180119  06  2.376
180119  07  2.993
180119  08  4.770
180119  09  7.272
180119  10  5.869
180119  11  4.134
180119  12  3.009
180119  13  2.375
180119  14  2.053
180119  15  2.860
180119  16  2.682
180119  17  2.729
180119  18  4.669
180119  19  4.553
180119  20  3.043
180119  21  0.767
180119  22  2.043
180119  23  2.050
180120  24  2.711
180120  01  2.317
180120  02  1.564
180120  03  1.373
180120  04  1.590
180120  05  1.632
180120  06  1.838
180120  07  2.049
180120  08  2.288
180120  09  2.655
180120  10  1.545
180120  11  1.344
180120  12  2.333
180120  13  2.563
180120  14  2.385
180120  15  1.424
180120  16  1.960
180120  17  2.358
180120  18  2.685
180120  19  3.077
180120  20  4.789
180120  21  4.895
180120  22  6.822
180120  23  3.275
180121  24  3.115
180121  01  2.756
180121  02  3.049
180121  03  4.108
180121  04  3.703
180121  05  2.127
180121  06  2.513
180121  07  2.508
180121  08  3.840
180121  09  5.404
180121  10  5.684
180121  11  5.427
180121  12  3.492
180121  13  1.637
180121  14  0.994
180121  15  1.268
180121  16  2.246
180121  17  2.939
180121  18  5.865
180121  19  5.198
180121  20  2.666
180121  21 -0.208
180121  22 -0.565
180121  23 -0.177
180122  24 -0.553
180122  01  0.130
180122  02  0.846
180122  03  1.139
180122  04  1.136
180122  05  1.923
180122  06  1.517
180122  07  1.574
180122  08  3.725
180122  09  4.454
180122  10  5.217
180122  11  6.369
180122  12  5.640
180122  13  5.835
180122  14  3.904
180122  15  2.752
180122  16  3.397
180122  17  4.166
180122  18  4.402
180122  19  3.590
180122  20  2.852
180122  21  2.329
180122  22  2.092
180122  23  2.072
180123  24  1.562
180123  01  0.339
180123  02  0.614
180123  03  1.518
180123  04  1.908
180123  05  1.649
180123  06  2.732
180123  07  3.240
180123  08  3.695
180123  09  3.210
180123  10  2.161
180123  11  1.321
180123  12  1.573
180123  13  1.754
180123  14  2.263
180123  15  2.353
180123  16  2.515
180123  17  2.365
180123  18  2.319
180123  19  1.290
180123  20  1.216
180123  21  1.215
180123  22  1.643
180123  23  1.127
180124  24  0.866
180124  01  0.716
180124  02  0.638
180124  03  0.454
180124  04  0.256
180124  05  0.531
180124  06  0.698
180124  07  0.968
180124  08  1.461
180124  09  1.757
180124  10  1.466
180124  11  1.011
180124  12  0.868
180124  13  0.930
180124  14  0.998
180124  15  1.045
180124  16  1.115
180124  17  1.101
180124  18  0.997
180124  19  0.968
180124  20  0.678
180124  21  0.554
180124  22  1.883
180124  23  1.309
180125  24  0.784
180125  01  0.513
180125  02  0.422
180125  03  0.218
180125  04  0.581
180125  05  0.669
180125  06  1.143
180125  07  1.956
180125  08  3.358
180125  09  3.987
180125  10  2.762
180125  11  2.294
180125  12  2.481
180125  13  2.398
180125  14  1.922
180125  15  1.757
180125  16  2.495
180125  17  3.828
180125  18  3.670
180125  19  4.216
180125  20  5.366
180125  21  3.905
180125  22  2.948
180125  23  2.583
180126  24  3.181
180126  01  1.480
180126  02  1.593
180126  03  1.794
180126  04  2.300
180126  05  2.020
180126  06  1.801
180126  07  2.240
180126  08  3.448
180126  09  4.135
180126  10  4.089
180126  11  3.076
180126  12  2.384
180126  13  2.164
180126  14  1.463
180126  15  1.607
180126  16  1.893
180126  17  2.411
180126  18  2.457
180126  19  3.323
180126  20  1.737
180126  21  0.742
180126  22  1.630
180126  23  2.955
180127  24  4.302
180127  01  4.321
180127  02  4.648
180127  03  2.845
180127  04  2.598
180127  05  1.808
180127  06  2.313
180127  07  3.454
180127  08  2.589
180127  09  1.063
180127  10  1.479
180127  11  1.623
180127  12  1.345
180127  13  1.126
180127  14  1.467
180127  15  1.135
180127  16  0.836
180127  17  1.273
180127  18  1.071
180127  19  1.173
180127  20  0.946
180127  21  0.797
180127  22  1.229
180127  23  1.345
180128  24  0.680
180128  01  0.167
180128  02 -0.399
180128  03  0.102
180128  04 -0.069
180128  05  0.274
180128  06  0.616
180128  07  0.324
180128  08  0.654
180128  09  1.418
180128  10  1.307
180128  11  0.624
180128  12  0.443
180128  13  0.395
180128  14  0.429
180128  15  0.636
180128  16  0.917
180128  17  1.522
180128  18  1.302
180128  19  1.107
180128  20  0.731
180128  21  0.465
180128  22  0.487
180128  23  0.534
180129  24  0.298
180129  01  0.362
180129  02  0.560
180129  03  0.565
180129  04  0.370
180129  05  0.054
180129  06  0.452
180129  07  1.049
180129  08  1.607
180129  09  2.019
180129  10  1.726
180129  11  1.487
180129  12  1.509
180129  13  1.126
180129  14  1.345
180129  15  1.260
180129  16  1.366
180129  17  1.064
180129  18  1.497
180129  19  1.760
180129  20  1.862
180129  21  2.282
180129  22  2.550
180129  23  2.773
180130  24  2.354
180130  01  2.648
180130  02  2.430
180130  03  2.112
180130  04  1.736
180130  05  1.456
180130  06  0.896
180130  07  2.526
180130  08  4.957
180130  09  6.967
180130  10  4.625
180130  11  1.542
180130  12  0.733
180130  13  0.322
180130  14  0.446
180130  15  1.229
180130  16  1.058
180130  17  2.144
180130  18  4.752
180130  19  4.635
180130  20  4.316
180130  21  3.645
180130  22  0.605
180130  23  0.440
180131  24  0.410
180131  01  1.378
180131  02  1.182
180131  03  0.404
180131  04  0.227
180131  05  0.966
180131  06  1.253
180131  07  2.207
180131  08  1.882
180131  09  1.695
180131  10  1.789
180131  11  1.965
180131  12  2.037
180131  13  2.529
180131  14  2.451
180131  15  1.934
180131  16  3.365
180131  17  3.416
180131  18  3.382
180131  19  3.342
180131  20  3.283
180131  21  3.631
180131  22  1.000
180131  23  1.038
180201  24  1.847
180201  01  0.754
180201  02  1.172
180201  03  0.718
180201  04  0.405
180201  05  1.039
180201  06  0.880
180201  07  1.782
180201  08  3.052
180201  09  4.147
180201  10  3.448
180201  11  1.786
180201  12  1.976
180201  13  1.939
180201  14  2.206
180201  15  1.704
180201  16  1.767
180201  17  1.817
180201  18  2.484
180201  19  2.317
180201  20  1.729
180201  21  1.218
180201  22  0.654
180201  23  1.222
180202  24  0.418
180202  01  0.766
180202  02  0.303
180202  03  0.782
180202  04  1.182
180202  05  0.552
180202  06  0.710
180202  07  2.828
180202  08  3.431
180202  09  5.226
180202  10  5.359
180202  11  4.176
180202  12  1.740
180202  13  1.947
180202  14  1.754
180202  15  1.595
180202  16  1.344
180202  17  1.631
180202  18  1.084
180202  19  1.696
180202  20  0.747
180202  21  1.006
180202  22  1.507
180202  23  0.874
180203  24  1.760
180203  01  6.649
180203  02  6.831
180203  03  5.310
180203  04  4.760
180203  05  1.484
180203  06  1.385
180203  07  2.553
180203  08  1.723
180203  09  2.605
180203  10  2.482
180203  11  2.921
180203  12  0.567
180203  13  1.248
180203  14  1.290
180203  15  2.196
180203  16  2.738
180203  17  2.759
180203  18  3.092
180203  19  2.962
180203  20  4.215
180203  21  3.008
180203  22  1.243
180203  23  0.816
180204  24  0.374
180204  01  0.620
180204  02  0.238
180204  03  0.364
180204  04  0.399
180204  05  0.532
180204  06  0.769
180204  07  0.806
180204  08  1.099
180204  09  1.180
180204  10  1.040
180204  11  0.436
180204  12  0.647
180204  13  0.795
180204  14  0.579
180204  15  0.675
180204  16  0.900
180204  17  1.103
180204  18  1.080
180204  19  0.920
180204  20  0.828
180204  21  0.527
180204  22  0.505
180204  23  0.634
180205  24  0.283
180205  01  0.095
180205  02  0.174
180205  03  0.255
180205  04  0.544
180205  05  0.169
180205  06  0.155
180205  07  0.362
180205  08  0.718
180205  09  0.903
180205  10  0.603
180205  11  0.734
180205  12  0.501
180205  13  0.515
180205  14  0.819
180205  15  0.889
180205  16  1.240
180205  17  1.716
180205  18  2.297
180205  19  1.720
180205  20  1.108
180205  21  1.657
180205  22  1.141
180205  23  1.068
180206  24  0.587
180206  01  0.283
180206  02  0.716
180206  03  0.538
180206  04  0.989
180206  05  0.506
180206  06  0.440
180206  07  0.959
180206  08  1.634
180206  09  1.121
180206  10  1.478
180206  11  1.501
180206  12  1.760
180206  13  0.339
180206  14  0.290
180206  15  0.539
180206  16  0.995
180206  17  1.212
180206  18  2.333
180206  19  2.265
180206  20  1.686
180206  21  2.583
180206  22  2.546
180206  23  2.598
180207  24  2.142
180207  01  2.108
180207  02  2.172
180207  03  2.615
180207  04  2.511
180207  05  2.965
180207  06  2.966
180207  07  2.947
180207  08  5.594
180207  09  5.990
180207  10  6.602
180207  11  1.503
180207  12  0.450
180207  13  1.120
180207  14  2.169
180207  15  2.716
180207  16  2.960
180207  17  3.266
180207  18  4.396
180207  19  5.062
180207  20  5.258
180207  21  6.903
180207  22 10.701
180207  23 10.223
180208  24  6.785
180208  01  7.086
180208  02  5.257
180208  03  3.798
180208  04  3.010
180208  05  2.562
180208  06  3.452
180208  07  4.692
180208  08  4.986
180208  09  4.984
180208  10  2.086
180208  11  1.238
180208  12  1.198
180208  13  1.194
180208  14 -0.180
180208  15 -0.064
180208  16  0.698
180208  17  1.924
180208  18  4.429
180208  19  4.349
180208  20  1.227
180208  21  0.019
180208  22 -0.518
180208  23  0.222
180209  24  0.215
180209  01 -0.576
180209  02 -0.462
180209  03 -0.209
180209  04  0.575
180209  05  0.738
180209  06  1.262
180209  07  0.459
180209  08  1.362
180209  09  2.490
180209  10  2.025
180209  11  1.551
180209  12  1.091
180209  13  0.868
180209  14  0.797
180209  15  0.764
180209  16  1.001
180209  17  2.004
180209  18  1.836
180209  19  1.685
180209  20  2.623
180209  21  3.526
180209  22  3.061
180209  23  3.917
180210  24  5.636
180210  01  5.353
180210  02  4.900
180210  03  3.159
180210  04  2.643
180210  05  3.837
180210  06  3.942
180210  07  4.711
180210  08  5.007
180210  09  4.993
180210  10  4.891
180210  11  3.166
180210  12 -0.029
180210  13  1.276
180210  14  0.759
180210  15  0.588
180210  16  1.233
180210  17  1.685
180210  18  1.977
180210  19  2.920
180210  20  1.378
180210  21  1.146
180210  22  1.081
180210  23  1.170
180211  24  0.844
180211  01  0.059
180211  02  0.016
180211  03  0.279
180211  04  0.197
180211  05  0.059
180211  06 -0.063
180211  07 -0.047
180211  08  0.193
180211  09  0.701
180211  10  0.735
180211  11  0.278
180211  12  0.473
180211  13  0.916
180211  14  0.826
180211  15  0.622
180211  16  0.574
180211  17  0.871
180211  18  1.564
180211  19  1.540
180211  20  1.459
180211  21  0.755
180211  22  1.644
180211  23  1.173
180212  24  0.770
180212  01  1.097
180212  02  1.152
180212  03  0.976
180212  04  1.146
180212  05  1.304
180212  06  1.277
180212  07  2.575
180212  08  4.268
180212  09  4.579
180212  10  3.305
180212  11  2.483
180212  12  1.241
180212  13  1.438
180212  14  1.277
180212  15  1.144
180212  16  1.889
180212  17  2.408
180212  18  2.593
180212  19  3.922
180212  20  3.880
180212  21  3.378
180212  22  3.133
180212  23  2.024
180213  24  2.090
180213  01  2.106
180213  02  1.394
180213  03  0.450
180213  04  0.053
180213  05  0.695
180213  06  0.812
180213  07  2.739
180213  08  4.138
180213  09  3.981
180213  10  2.541
180213  11  1.365
180213  12  0.746
180213  13  0.528
180213  14  0.563
180213  15  1.001
180213  16  1.018
180213  17  1.361
180213  18  1.516
180213  19  1.910
180213  20  2.515
180213  21  1.329
180213  22  0.108
180213  23  0.404
180214  24  0.362
180214  01  0.255
180214  02 -0.271
180214  03  0.088
180214  04  0.169
180214  05  0.799
180214  06  0.554
180214  07  0.976
180214  08  0.961
180214  09  0.652
180214  10  0.235
180214  11  0.516
180214  12  1.013
180214  13  0.290
180214  14 -0.249
180214  15  0.602
180214  16  1.508
180214  17  1.844
180214  18  2.401
180214  19  1.778
180214  20  1.410
180214  21  0.461
180214  22  0.378
180214  23  0.067
180215  24  0.212
180215  01 -0.291
180215  02 -0.366
180215  03 -0.501
180215  04 -0.215
180215  05 -0.105
180215  06  0.131
180215  07  0.392
180215  08  0.856
180215  09  1.924
180215  10  1.158
180215  11  1.915
180215  12  2.545
180215  13  2.007
180215  14  2.199
180215  15  1.912
180215  16  2.584
180215  17  4.720
180215  18  5.508
180215  19  4.705
180215  20  4.482
180215  21  3.229
180215  22  2.135
180215  23  3.591
180216  24  2.362
180216  01 -0.186
180216  02 -1.400
180216  03 -0.518
180216  04 -0.340
180216  05  0.385
180216  06  1.158
180216  07  2.818
180216  08  3.476
180216  09  5.350
180216  10  3.754
180216  11  1.409
180216  12  0.938
180216  13  1.171
180216  14  0.897
180216  15  0.897
180216  16  1.329
180216  17  2.368
180216  18  3.379
180216  19  6.269
180216  20  9.052
180216  21  9.773
180216  22  8.351
180216  23  7.362
180217  24  6.557
180217  01  4.439
180217  02  2.673
180217  03  1.452
180217  04  0.389
180217  05  1.269
180217  06  2.016
180217  07  1.258
180217  08 -0.211
180217  09  0.658
180217  10  1.382
180217  11  2.790
180217  12  2.313
180217  13  0.860
180217  14  0.849
180217  15  1.280
180217  16  1.405
180217  17  1.660
180217  18  2.388
180217  19  3.153
180217  20  4.322
180217  21  4.028
180217  22  1.833
180217  23  1.215
180218  24  1.641
180218  01  1.602
180218  02  2.320
180218  03  1.008
180218  04  0.701
180218  05  0.448
180218  06  0.456
180218  07  0.806
180218  08  1.204
180218  09  1.449
180218  10  1.036
180218  11  1.222
180218  12  1.010
180218  13 -0.083
180218  14 -0.100
180218  15 -0.324
180218  16 -0.019
180218  17  1.182
180218  18  2.413
180218  19  4.555
180218  20  6.372
180218  21  6.342
180218  22  3.595
180218  23  3.065
180219  24  3.152
180219  01  1.364
180219  02  0.912
180219  03  0.034
180219  04 -0.756
180219  05 -0.937
180219  06  0.254
180219  07  2.231
180219  08  2.890
180219  09  2.836
180219  10  2.969
180219  11  2.220
180219  12  1.949
180219  13  0.225
180219  14 -0.227
180219  15 -0.593
180219  16 -0.212
180219  17  0.092
180219  18  0.338
180219  19  0.644
180219  20  2.470
180219  21  1.950
180219  22  2.010
180219  23  1.301
180220  24  2.064
180220  01  2.162
180220  02  1.844
180220  03  0.933
180220  04  0.726
180220  05  0.697
180220  06  1.158
180220  07  0.912
180220  08  0.753
180220  09  2.280
180220  10  0.518
180220  11  1.932
180220  12  1.358
180220  13  0.399
180220  14  0.204
180220  15  0.577
180220  16  0.308
180220  17  1.275
180220  18  2.836
180220  19  2.483
180220  20  1.205
180220  21  1.463
180220  22  1.285
180220  23 -0.304
180221  24  0.207
180221  01  0.448
180221  02  0.151
180221  03  0.376
180221  04 -0.151
180221  05 -0.087
180221  06  1.243
180221  07  1.726
180221  08  2.036
180221  09  1.795
180221  10  0.283
180221  11  3.767
180221  12  1.978
180221  13  0.423
180221  14  0.157
180221  15  1.335
180221  16  1.046
180221  17  0.668
180221  18  0.936
180221  19  1.353
180221  20  1.381
180221  21  0.195
180221  22  1.096
180221  23  1.503
180222  24  0.569
180222  01  0.668
180222  02 -0.029
180222  03  0.309
180222  04  0.247
180222  05  0.473
180222  06  0.502
180222  07  0.157
180222  08  0.827
180222  09  1.764
180222  10  1.999
180222  11  2.133
180222  12  1.623
180222  13  2.122
180222  14  1.050
180222  15  0.518
180222  16  0.975
180222  17  1.570
180222  18  1.156
180222  19  2.410
180222  20  1.755
180222  21  1.072
180222  22  0.129
180222  23  1.648
180223  24  1.074
180223  01 -0.039
180223  02  0.392
180223  03  0.403
180223  04  0.397
180223  05  0.607
180223  06 -0.203
180223  07 -0.250
180223  08  0.056
180223  09  1.082
180223  10  0.661
180223  11  0.614
180223  12  0.438
180223  13  0.350
180223  14 -0.122
180223  15  0.136
180223  16  0.333
180223  17  0.236
180223  18  0.455
180223  19  0.794
180223  20  1.064
180223  21  0.414
180223  22  0.479
180223  23 -0.104
180224  24  0.455
180224  01  1.017
180224  02  1.039
180224  03  0.922
180224  04  1.016
180224  05  0.658
180224  06  0.447
180224  07  0.592
180224  08  0.320
180224  09 -0.078
180224  10  0.059
180224  11  0.074
180224  12  0.157
180224  13  0.178
180224  14  0.295
180224  15  0.649
180224  16  0.369
180224  17  0.207
180224  18  0.237
180224  19  0.387
180224  20  0.280
180224  21  0.590
180224  22  0.555
180224  23  0.252
180225  24  0.220
180225  01  0.303
180225  02  0.377
180225  03  0.039
180225  04  0.136
180225  05  0.122
180225  06 -0.021
180225  07  0.282
180225  08  0.141
180225  09  0.236
180225  10  0.060
180225  11 -0.005
180225  12  0.086
180225  13  0.044
180225  14  0.217
180225  15  0.228
180225  16  0.258
180225  17  0.380
180225  18  0.562
180225  19  0.695
180225  20  0.617
180225  21  0.771
180225  22  0.981
180225  23  0.213
180226  24  0.124
180226  01 -0.019
180226  02  0.031
180226  03  0.012
180226  04  0.145
180226  05  0.265
180226  06  0.332
180226  07  1.201
180226  08  1.679
180226  09  2.256
180226  10  1.209
180226  11  0.466
180226  12  0.733
180226  13  0.321
180226  14  0.345
180226  15  0.506
180226  16  0.442
180226  17  0.951
180226  18  0.903
180226  19  1.069
180226  20  1.340
180226  21  1.477
180226  22  1.343
180226  23  1.424
180227  24  1.335
180227  01  0.765
180227  02  0.604
180227  03  0.540
180227  04  0.403
180227  05  0.337
180227  06  0.298
180227  07  0.707
180227  08  1.378
180227  09  2.821
180227  10  0.792
180227  11  1.056
180227  12  1.030
180227  13  0.879
180227  14  0.591
180227  15  0.227
180227  16  0.393
180227  17  0.700
180227  18  1.069
180227  19  1.868
180227  20  1.108
180227  21  0.723
180227  22  0.868
180227  23  0.743
180228  24 -0.007
180228  01 -0.456
180228  02  0.582
180228  03  0.556
180228  04  0.397
180228  05  0.360
180228  06  0.509
180228  07  0.824
180228  08  0.312
180228  09  0.798
180228  10  1.076
180228  11  0.369
180228  12  0.333
180228  13  0.478
180228  14  0.499
180228  15  0.654
180228  16  0.706
180228  17  0.810
180228  18  0.811
180228  19  0.767
180228  20  0.815
180228  21  0.647
180228  22  0.424
180228  23  0.339
180301  24  0.495
180301  01  0.226
180301  02  0.050
180301  03  0.259
180301  04  0.310
180301  05  0.195
180301  06  0.217
180301  07  0.432
180301  08  0.789
180301  09  0.928
180301  10  0.948
180301  11  0.661
180301  12  0.609
180301  13  0.486
180301  14  0.311
180301  15  0.469
180301  16  0.367
180301  17  0.329
180301  18  0.138
180301  19  0.098
180301  20  0.401
180301  21  0.238
180301  22  0.311
180301  23  0.349
180302  24  0.153
180302  01  0.099
180302  02 -0.180
180302  03 -0.225
180302  04 -0.060
180302  05  0.121
180302  06  0.103
180302  07  0.343
180302  08  0.572
180302  09  1.434
180302  10  1.847
180302  11  1.203
