CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2019
VERSION          1.0
RELEASE_DATE     09/03/2020
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

190101  01  6.668
190101  02  2.159
190101  03  1.117
190101  04  0.677
190101  05  0.405
190101  06  0.264
190101  07  0.252
190101  08  0.255
190101  09  0.612
190101  10  0.446
190101  11  0.777
190101  12  1.638
190101  13  1.424
190101  14  0.644
190101  15  0.753
190101  16  0.726
190101  17  0.440
190101  18  0.790
190101  19  0.684
190101  20  0.581
190101  21  0.274
190101  22  0.381
190101  23  0.065
190101  24  0.227
190102  01  0.088
190102  02  0.272
190102  03 -0.006
190102  04  0.155
190102  05  0.040
190102  06  0.232
190102  07  0.816
190102  08  1.277
190102  09  0.876
190102  10  1.339
190102  11  0.820
190102  12  0.556
190102  13 -0.188
190102  14  0.836
190102  15  0.554
190102  16  1.195
190102  17  1.417
190102  18  3.217
190102  19  4.118
190102  20  1.993
190102  21  1.262
190102  22  0.471
190102  23 -0.088
190102  24  1.168
190103  01  0.945
190103  02  0.795
190103  03  0.655
190103  04  0.942
190103  05  1.703
190103  06  2.525
190103  07  2.736
190103  08  4.455
190103  09  5.065
190103  10  4.648
190103  11  3.188
190103  12  1.863
190103  13  1.112
190103  14  0.949
190103  15  0.469
190103  16  0.935
190103  17  1.277
190103  18  2.298
190103  19  4.238
190103  20  3.790
190103  21  3.865
190103  22  3.395
190103  23  2.686
190103  24  3.653
190104  01  2.090
190104  02  1.801
190104  03  2.439
190104  04  2.685
190104  05  1.845
190104  06  1.789
190104  07  4.074
190104  08  5.743
190104  09  5.269
190104  10  3.831
190104  11  3.388
190104  12  3.436
190104  13  3.298
190104  14  3.180
190104  15  2.867
190104  16  2.875
190104  17  2.488
190104  18  3.340
190104  19  4.532
190104  20  3.096
190104  21  2.197
190104  22  2.574
190104  23  2.180
190104  24  1.329
190105  01  1.341
190105  02  0.780
190105  03  0.695
190105  04  0.599
190105  05  0.214
190105  06  0.248
190105  07  0.175
190105  08  0.328
190105  09  0.455
190105  10  0.576
190105  11  1.119
190105  12  1.052
190105  13  1.146
190105  14  1.391
190105  15  1.138
190105  16  1.371
190105  17  1.234
190105  18  1.664
190105  19  1.940
190105  20  1.553
190105  21  1.571
190105  22  1.092
190105  23  1.677
190105  24  1.909
190106  01  1.804
190106  02  1.285
190106  03  1.378
190106  04  1.491
190106  05  1.924
190106  06  2.701
190106  07  2.272
190106  08  2.892
190106  09  1.966
190106  10  2.142
190106  11  2.076
190106  12  2.296
190106  13  2.333
190106  14  2.299
190106  15  3.155
190106  16  3.862
190106  17  3.999
190106  18  4.398
190106  19  4.222
190106  20  4.006
190106  21  3.122
190106  22  3.016
190106  23  1.732
190106  24  1.848
190107  01  1.560
190107  02  2.421
190107  03  3.256
190107  04  2.267
190107  05  2.963
190107  06  2.679
190107  07  1.964
190107  08  3.032
190107  09  3.476
190107  10  2.274
190107  11  1.358
190107  12  0.647
190107  13  0.888
190107  14  1.169
190107  15  1.378
190107  16  1.005
190107  17  1.002
190107  18  1.331
190107  19  1.216
190107  20  0.732
