CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2021
VERSION          1.0
RELEASE_DATE     3-3-2022
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

210101  01  5.352
210101  02  3.185
210101  03  2.439
210101  04  3.046
210101  05  3.220
210101  06  1.717
210101  07  2.213
210101  08  1.979
210101  09  1.690
210101  10  2.048
210101  11  1.320
210101  12  1.389
210101  13  1.017
210101  14  1.681
210101  15  1.210
210101  16  0.389
210101  17  0.544
210101  18  0.538
210101  19  0.901
210101  20  0.777
210101  21  1.983
210101  22  1.658
210101  23  1.868
210101  24  1.432
210102  01  1.635
210102  02  1.159
210102  03  1.740
210102  04  1.434
210102  05  2.239
210102  06  2.409
210102  07  2.702
210102  08  1.843
210102  09  1.902
210102  10  2.480
210102  11  2.821
210102  12  2.859
210102  13  2.124
210102  14  1.705
210102  15  1.158
210102  16  0.293
210102  17  0.694
210102  18  0.555
210102  19  0.509
210102  20  0.156
210102  21  1.616
210102  22  1.566
210102  23  0.981
210102  24  0.816
210103  01 -0.274
210103  02  1.269
210103  03  0.899
210103  04 -0.306
210103  05 -0.384
210103  06 -0.563
210103  07 -0.147
210103  08  0.003
210103  09 -0.191
210103  10 -0.125
210103  11  0.120
210103  12 -0.099
210103  13 -0.129
210103  14 -0.408
210103  15  0.156
210103  16  0.156
210103  17  0.559
210103  18  0.191
210103  19 -0.099
210103  20  0.108
210103  21 -0.092
210103  22 -0.364
210103  23  0.072
210103  24 -0.308
210104  01 -0.447
210104  02 -0.269
210104  03 -0.260
210104  04 -0.495
210104  05 -0.435
210104  06 -0.337
210104  07 -0.224
210104  08  0.255
210104  09  0.709
210104  10 -0.060
210104  11  0.164
210104  12  0.730
210104  13  0.133
210104  14  0.309
210104  15  0.134
210104  16  0.152
210104  17  0.256
210104  18  0.303
210104  19  0.273
210104  20  0.136
210104  21 -0.072
210104  22 -0.140
210104  23 -0.410
210104  24 -0.504
210105  01 -0.698
210105  02 -0.730
210105  03 -0.482
210105  04 -0.385
210105  05 -0.410
210105  06 -0.434
210105  07 -0.309
210105  08  0.167
210105  09 -0.099
210105  10  0.042
210105  11 -0.072
210105  12  0.198
210105  13 -0.302
210105  14  0.216
210105  15  0.142
210105  16 -0.076
210105  17 -0.171
210105  18 -0.150
210105  19 -0.521
210105  20 -0.360
210105  21 -0.365
210105  22 -0.514
210105  23 -0.425
210105  24 -0.418
210106  01 -0.568
210106  02 -0.541
210106  03 -0.537
210106  04 -0.461
210106  05 -0.052
210106  06 -0.048
210106  07  0.224
210106  08  0.403
210106  09  0.883
210106  10  1.014
210106  11  0.757
210106  12  0.238
210106  13  0.206
210106  14  0.426
210106  15  0.245
210106  16  0.155
210106  17  0.615
210106  18  0.637
210106  19  1.333
210106  20  2.674
210106  21  3.972
210106  22  4.502
210106  23  3.948
210106  24  3.329
210107  01  4.517
210107  02  2.831
210107  03  2.211
210107  04  2.160
210107  05  1.654
210107  06  2.155
210107  07  3.279
210107  08  5.194
210107  09  5.430
210107  10  5.463
210107  11  3.832
210107  12  4.311
210107  13  4.067
210107  14  4.389
210107  15  3.498
210107  16  3.017
210107  17  2.893
210107  18  4.570
210107  19  7.492
210107  20  4.959
210107  21  4.777
210107  22  3.661
210107  23  1.498
210107  24  1.268
210108  01 -0.005
210108  02  0.075
210108  03  0.503
210108  04  0.227
210108  05  0.123
210108  06  0.970
210108  07  1.988
210108  08  4.633
210108  09  4.025
210108  10  5.515
210108  11  3.781
210108  12  0.712
210108  13  0.869
210108  14  0.371
210108  15  0.536
210108  16  0.891
210108  17  2.089
210108  18  3.513
210108  19  4.567
210108  20  3.698
210108  21  2.991
210108  22  4.092
210108  23  4.009
210108  24  2.312
210109  01  2.475
210109  02  1.540
210109  03  1.882
210109  04  1.762
210109  05  2.702
210109  06  3.175
210109  07  2.802
210109  08  3.882
210109  09  4.941
210109  10  5.388
210109  11  5.594
210109  12  4.350
210109  13  2.236
210109  14  1.632
210109  15  1.600
210109  16  1.956
210109  17  2.934
210109  18  2.218
210109  19  5.654
210109  20  8.455
210109  21  8.197
210109  22  9.111
210109  23  6.943
210109  24  6.340
210110  01  6.510
210110  02  5.185
210110  03  4.873
210110  04  6.840
210110  05  4.278
210110  06  2.306
210110  07  2.221
210110  08  1.621
210110  09  1.238
210110  10  1.425
210110  11  2.898
210110  12  0.795
210110  13  0.300
210110  14  1.273
210110  15  1.015
210110  16  1.737
210110  17  2.319
210110  18  2.138
210110  19  1.587
210110  20  2.687
210110  21  1.702
210110  22  1.462
210110  23  0.945
210110  24  0.225
210111  01 -0.043
210111  02  0.695
210111  03  0.716
210111  04  0.824
210111  05  0.221
210111  06  0.227
210111  07  0.577
210111  08  1.081
210111  09  2.029
210111  10  1.490
210111  11  1.605
210111  12  1.369
210111  13  0.257
210111  14  1.428
210111  15  1.734
210111  16  0.713
210111  17  1.398
210111  18  0.413
210111  19  0.936
210111  20  0.017
210111  21 -0.086
210111  22  0.425
210111  23  0.037
210111  24 -0.128
210112  01 -0.093
210112  02 -0.101
210112  03 -0.402
210112  04 -0.206
210112  05 -0.137
210112  06 -0.268
210112  07  0.504
210112  08  2.465
210112  09  1.737
210112  10  1.282
210112  11  1.684
210112  12  0.781
210112  13  0.496
210112  14  1.138
210112  15  1.341
210112  16  1.669
210112  17  2.124
210112  18  1.759
210112  19  2.144
210112  20  4.110
210112  21  5.510
210112  22  5.849
210112  23  6.343
210112  24  4.880
210113  01  2.973
210113  02  1.672
210113  03  1.509
210113  04  1.682
210113  05  1.183
210113  06  1.063
210113  07  2.456
210113  08  4.704
210113  09  6.109
210113  10  4.293
210113  11  2.847
210113  12  2.381
210113  13  2.192
210113  14  2.138
210113  15  1.704
210113  16  2.263
210113  17  2.644
210113  18  2.964
210113  19  4.515
210113  20  5.021
210113  21  4.040
210113  22  1.486
210113  23  1.869
210113  24  0.296
210114  01  0.482
210114  02  0.382
210114  03  1.051
210114  04  0.604
210114  05  1.354
210114  06  1.279
210114  07  2.723
210114  08  1.680
210114  09 -0.172
210114  10 -0.139
210114  11  1.356
210114  12  0.299
210114  13 -0.043
210114  14  0.423
210114  15  0.539
210114  16 -0.169
210114  17 -0.454
210114  18 -0.516
210114  19 -0.223
210114  20  0.783
210114  21 -0.241
210114  22 -0.920
210114  23 -1.045
210114  24 -0.977
210115  01 -0.578
210115  02 -0.257
210115  03 -0.427
210115  04 -0.122
210115  05  0.756
210115  06  1.523
210115  07  2.256
210115  08  2.514
210115  09  1.807
210115  10  1.163
210115  11 -0.232
210115  12 -0.602
210115  13  0.354
210115  14  1.560
210115  15  1.856
210115  16  2.992
210115  17  3.429
210115  18  3.923
210115  19  6.030
210115  20  7.032
210115  21  5.253
210115  22  3.780
210115  23  4.110
210115  24  1.936
210116  01  1.448
210116  02  0.224
210116  03 -0.719
210116  04  0.880
210116  05  0.196
210116  06 -0.411
210116  07  0.531
210116  08  1.347
210116  09  0.172
210116  10 -0.410
210116  11  0.824
210116  12  1.368
210116  13  0.109
210116  14  0.543
210116  15  0.066
210116  16  0.238
210116  17  0.155
210116  18  0.517
210116  19 -0.113
210116  20 -0.140
210116  21 -0.304
210116  22 -0.527
210116  23 -0.341
210116  24 -0.385
210117  01 -0.385
210117  02 -0.461
210117  03  0.556
210117  04  0.682
210117  05  0.369
210117  06  0.682
210117  07  1.364
210117  08  3.936
210117  09  3.135
210117  10  2.834
210117  11  2.607
210117  12  1.553
210117  13  1.557
210117  14  1.777
210117  15  2.479
210117  16  2.421
210117  17  1.992
210117  18  2.868
210117  19  3.855
210117  20  3.650
210117  21  4.083
210117  22  3.224
