CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2017
VERSION          1.0
RELEASE_DATE     8/3/2018
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

170101  01  1.588
170101  02  0.590
170101  03  0.214
170101  04 -0.071
170101  05  0.054
170101  06  0.512
170101  07  0.748
170101  08  0.505
170101  09  0.506
170101  10  0.681
170101  11  0.319
170101  12  0.639
170101  13  0.742
170101  14  0.614
170101  15  0.723
170101  16  0.539
170101  17  0.477
170101  18  0.729
170101  19  0.983
170101  20  1.203
170101  21  1.229
170101  22  1.046
170101  23  1.144
170101  24  1.476
170102  01  2.600
170102  02  2.251
170102  03  0.089
170102  04 -0.556
170102  05 -0.166
170102  06  0.809
170102  07  1.393
170102  08  2.214
170102  09  2.222
170102  10  2.800
170102  11  2.879
170102  12  2.537
170102  13  1.696
170102  14  1.595
170102  15  2.013
170102  16  1.812
170102  17  2.435
170102  18  4.758
170102  19  4.153
170102  20  2.163
170102  21  3.257
170102  22  4.298
170102  23  5.007
170102  24  3.970
170103  01  2.782
170103  02  2.262
170103  03  1.756
170103  04  0.907
170103  05  0.786
170103  06  1.083
170103  07  1.523
170103  08  2.320
170103  09  2.151
170103  10  2.123
170103  11  1.511
170103  12  1.273
170103  13  1.831
170103  14  2.079
170103  15  1.637
170103  16  1.328
170103  17  1.065
170103  18  0.923
170103  19  0.818
170103  20  0.428
170103  21  0.261
170103  22  0.345
170103  23  0.417
170103  24  0.808
170104  01  0.621
170104  02  1.037
170104  03  0.707
170104  04  0.703
170104  05  0.494
170104  06  0.230
170104  07  0.836
170104  08  1.017
170104  09  1.627
170104  10  1.337
170104  11  1.015
170104  12  0.901
170104  13  1.058
170104  14  0.934
170104  15  1.003
170104  16  0.871
170104  17  1.184
170104  18  1.211
170104  19  0.565
170104  20  1.179
170104  21  0.962
170104  22  1.331
170104  23  0.958
170104  24  0.864
170105  01  0.620
170105  02  0.671
170105  03  0.652
170105  04  0.879
170105  05  0.427
170105  06  0.772
170105  07  1.078
170105  08  2.664
170105  09  2.332
170105  10  4.497
170105  11  1.109
170105  12  0.094
170105  13 -0.301
170105  14  0.309
170105  15  0.231
170105  16  0.772
170105  17  0.942
170105  18  1.771
170105  19  1.003
170105  20  1.248
170105  21  1.674
170105  22  1.004
170105  23  0.985
170105  24  0.898
170106  01  2.383
170106  02  1.112
170106  03  1.274
170106  04  1.070
170106  05  1.522
170106  06  1.463
170106  07  1.288
170106  08  2.308
170106  09  1.887
170106  10  1.271
170106  11  0.304
170106  12  0.280
170106  13  0.236
170106  14 -0.056
170106  15  0.528
170106  16  0.547
170106  17  1.191
170106  18  1.357
170106  19  0.893
170106  20  0.832
170106  21  0.949
170106  22  0.858
170106  23  0.566
170106  24  0.653
170107  01  1.085
170107  02  0.846
170107  03  0.425
170107  04  0.432
170107  05  0.233
170107  06  0.186
170107  07  0.250
170107  08  0.619
170107  09  0.812
170107  10  1.023
170107  11  0.838
170107  12  0.929
170107  13  0.813
170107  14  0.655
170107  15  0.623
170107  16  0.826
170107  17  1.060
170107  18  1.901
170107  19  2.690
170107  20  2.590
170107  21  2.084
170107  22  1.508
170107  23  1.515
170107  24  1.797
170108  01  2.319
170108  02  2.440
170108  03  2.810
170108  04  3.320
170108  05  2.820
170108  06  3.083
170108  07  2.303
170108  08  2.720
170108  09  4.964
170108  10  5.852
170108  11  5.620
170108  12  4.021
170108  13  2.767
170108  14  2.548
170108  15  2.569
170108  16  2.236
170108  17  2.961
170108  18  3.573
170108  19  4.864
170108  20  6.276
170108  21  6.821
170108  22  6.668
170108  23  6.105
170108  24  4.454
170109  01  1.638
170109  02  1.028
170109  03  1.036
170109  04  0.910
170109  05  1.240
170109  06  0.623
170109  07  0.705
170109  08  1.587
170109  09  1.046
170109  10  0.785
170109  11  0.290
170109  12  0.202
170109  13  0.090
170109  14  0.465
170109  15  0.948
170109  16  0.532
170109  17  0.657
170109  18  0.638
170109  19  0.385
170109  20  0.626
170109  21  0.334
170109  22  0.029
170109  23 -0.228
170109  24 -0.628
170110  01 -0.299
170110  02 -0.278
170110  03 -0.069
170110  04  0.821
170110  05  1.278
170110  06  1.562
170110  07  2.920
170110  08  4.546
170110  09  4.025
170110  10  3.649
170110  11  2.318
170110  12  2.904
170110  13  1.922
170110  14  0.322
170110  15  1.560
170110  16  1.750
170110  17  3.136
170110  18  3.604
170110  19  2.876
170110  20  2.885
170110  21  1.592
170110  22  0.244
170110  23  0.325
170110  24  0.269
170111  01 -0.228
170111  02 -0.163
170111  03  0.271
170111  04  0.143
170111  05  0.179
170111  06 -0.025
170111  07  0.400
170111  08  1.328
170111  09  2.087
170111  10  1.552
170111  11  1.556
170111  12  1.270
170111  13  1.020
170111  14  1.291
170111  15  1.269
170111  16  1.787
170111  17  1.956
170111  18  2.071
170111  19  1.746
170111  20  1.711
170111  21  1.163
170111  22  0.980
170111  23  0.796
170111  24  0.569
170112  01  0.427
170112  02  0.365
170112  03  0.220
170112  04  0.549
170112  05  0.483
170112  06  0.568
170112  07  1.208
170112  08  2.425
170112  09  2.656
170112  10  1.569
170112  11  1.684
170112  12  1.230
170112  13  0.888
170112  14  1.375
170112  15  2.699
170112  16  2.653
170112  17  2.060
170112  18  2.436
170112  19  2.186
170112  20  1.051
170112  21  1.206
170112  22  0.747
170112  23  0.366
170112  24 -0.303
170113  01 -0.754
170113  02  0.170
170113  03 -0.294
170113  04 -0.318
170113  05 -0.109
170113  06  0.490
170113  07  1.682
170113  08  2.706
170113  09  2.734
170113  10  2.901
170113  11  3.126
170113  12  3.939
170113  13  2.255
170113  14  1.626
170113  15  1.803
170113  16  2.021
170113  17  1.746
170113  18  2.296
170113  19  1.817
170113  20  0.539
170113  21  0.860
170113  22  0.504
170113  23  0.358
170113  24  0.334
170114  01  0.387
170114  02  0.269
170114  03  0.215
170114  04  0.185
170114  05  0.338
170114  06  0.300
170114  07  0.516
170114  08  1.632
170114  09  2.219
170114  10  3.031
170114  11  0.910
170114  12  2.066
170114  13  2.283
170114  14  2.136
170114  15  1.583
170114  16  1.099
170114  17  1.377
170114  18  1.216
170114  19  1.548
170114  20  2.719
170114  21  1.120
170114  22  1.723
170114  23  1.481
170114  24  1.690
170115  01  1.725
170115  02  1.039
170115  03  0.992
170115  04  1.389
170115  05  1.318
170115  06  1.781
170115  07  1.510
170115  08  2.410
170115  09  3.101
170115  10  4.694
170115  11  5.404
170115  12  4.575
170115  13  2.863
170115  14  1.388
170115  15  0.879
170115  16  1.494
170115  17  3.707
170115  18  4.891
170115  19  6.259
170115  20  4.078
170115  21  4.349
170115  22  5.468
170115  23  6.309
170115  24  4.134
170116  01  3.551
170116  02  3.400
170116  03  3.084
170116  04  0.275
170116  05 -0.721
170116  06  0.153
170116  07  2.132
170116  08  1.136
170116  09  2.186
170116  10  0.389
170116  11  0.540
170116  12  1.481
170116  13  1.233
170116  14  0.590
170116  15  0.974
170116  16  1.047
170116  17  0.353
170116  18 -1.287
170116  19  1.139
170116  20  2.132
170116  21  2.872
170116  22  1.996
170116  23  2.377
170116  24  1.614
170117  01  0.571
170117  02 -0.167
170117  03 -0.167
170117  04 -0.041
170117  05  0.236
170117  06  0.690
170117  07  1.121
170117  08  1.358
170117  09  2.388
170117  10  2.366
170117  11  2.330
170117  12  1.373
170117  13  2.255
170117  14  1.584
170117  15  1.561
170117  16  1.931
170117  17  2.747
170117  18  2.155
170117  19  2.345
170117  20  1.616
170117  21  1.377
170117  22  2.733
170117  23  2.217
170117  24  2.207
170118  01  2.441
170118  02  2.127
170118  03  1.246
170118  04  0.535
170118  05  0.489
170118  06  0.955
170118  07  1.753
170118  08  2.619
170118  09  2.510
170118  10  1.974
170118  11  2.317
170118  12  2.107
170118  13  2.333
170118  14  1.447
170118  15  1.974
170118  16  1.805
170118  17  1.978
170118  18  2.081
170118  19  1.844
170118  20  2.210
170118  21  1.272
170118  22  0.772
170118  23  1.349
170118  24  0.965
170119  01  0.537
170119  02  1.303
170119  03  1.387
170119  04  1.629
170119  05  1.480
170119  06  1.793
170119  07  2.602
170119  08  2.123
170119  09  3.313
170119  10  3.579
170119  11  4.052
170119  12  1.763
170119  13  2.325
170119  14  1.651
170119  15  0.286
170119  16  0.178
170119  17  0.791
170119  18  1.336
170119  19  1.090
170119  20  2.954
170119  21  2.891
170119  22  2.029
170119  23  1.467
170119  24  1.984
170120  01  1.765
170120  02  1.246
170120  03  1.372
170120  04  0.658
170120  05  0.553
170120  06  0.404
170120  07  2.159
170120  08  2.076
170120  09  5.953
170120  10  5.263
170120  11  3.634
170120  12  2.202
170120  13  1.750
170120  14  2.904
170120  15  2.240
170120  16  1.866
170120  17  0.850
170120  18  0.215
170120  19  0.112
170120  20 -0.224
170120  21 -0.529
170120  22  0.284
170120  23 -0.123
170120  24 -0.142
170121  01 -2.002
170121  02 -0.365
170121  03 -0.199
170121  04 -0.296
170121  05 -0.513
170121  06 -1.872
170121  07 -0.942
170121  08  0.462
170121  09  0.434
170121  10  0.654
170121  11  1.106
170121  12  1.156
170121  13  1.067
170121  14  1.230
170121  15  1.440
170121  16  1.384
170121  17  1.968
170121  18  1.775
170121  19  1.570
170121  20  1.630
170121  21  0.936
170121  22  1.956
170121  23  2.015
170121  24  2.215
170122  01  2.727
170122  02  2.552
170122  03  2.431
170122  04  2.683
170122  05  2.877
170122  06  2.663
170122  07  2.682
170122  08  3.008
170122  09  2.731
170122  10  3.997
170122  11  3.880
170122  12  2.720
170122  13  1.278
170122  14  0.536
170122  15  0.832
170122  16  0.704
170122  17  1.262
170122  18  1.364
170122  19  2.483
170122  20  2.707
170122  21  2.336
170122  22  2.199
170122  23  2.385
170122  24  2.606
170123  01  1.844
170123  02  2.778
170123  03  2.472
170123  04  2.497
170123  05  2.290
170123  06  3.067
170123  07  4.513
170123  08  5.920
170123  09  6.966
170123  10  5.345
170123  11  3.138
170123  12  1.759
170123  13  1.151
170123  14  1.022
170123  15  0.225
170123  16  0.170
170123  17  0.603
170123  18  0.601
170123  19  0.744
170123  20  0.733
170123  21  0.640
170123  22  0.963
170123  23  0.782
170123  24  0.796
170124  01  1.193
170124  02  0.897
170124  03  0.739
170124  04  0.237
170124  05  0.349
170124  06  0.304
170124  07  0.663
170124  08  2.301
170124  09  3.158
170124  10  3.246
170124  11  2.655
170124  12  0.979
170124  13 -0.145
170124  14 -0.220
170124  15 -0.211
170124  16  0.812
170124  17  0.928
170124  18  0.664
170124  19  0.934
170124  20  0.900
170124  21  0.314
170124  22  1.091
170124  23  1.543
170124  24  1.490
170125  01 -0.153
170125  02  0.522
170125  03  0.848
170125  04  0.437
170125  05  0.755
170125  06  0.796
170125  07  0.118
170125  08 -0.427
170125  09  0.528
170125  10  2.263
170125  11  1.240
170125  12  0.256
170125  13  0.407
170125  14  0.314
170125  15  0.327
170125  16 -0.140
170125  17  0.017
170125  18  0.561
170125  19 -0.189
170125  20  0.103
170125  21  0.931
170125  22  0.904
170125  23  0.489
170125  24  0.496
170126  01  0.600
170126  02  0.355
170126  03  0.367
170126  04  0.643
170126  05  1.065
170126  06  1.512
170126  07  1.069
170126  08  1.110
170126  09  0.881
170126  10  1.428
170126  11  0.544
170126  12  0.270
170126  13  0.449
170126  14  0.016
170126  15  0.194
170126  16  0.333
170126  17  1.405
170126  18  2.033
170126  19  2.141
170126  20  1.545
170126  21  1.346
170126  22  1.556
170126  23  1.318
170126  24  1.536
170127  01  1.255
170127  02  1.386
170127  03  1.116
170127  04  0.757
170127  05  0.326
170127  06  0.364
170127  07  0.919
170127  08  0.469
170127  09  0.604
170127  10  0.813
170127  11  0.537
170127  12  0.241
170127  13  0.356
170127  14  0.783
170127  15  0.935
170127  16  1.573
170127  17  1.381
170127  18  2.310
170127  19  1.528
170127  20  1.191
170127  21  1.430
170127  22  1.305
170127  23  0.275
170127  24  0.524
170128  01  1.278
170128  02  0.968
170128  03  0.183
170128  04  0.314
170128  05 -0.317
170128  06 -0.644
170128  07 -0.031
170128  08  0.437
170128  09  0.738
170128  10  0.499
170128  11  0.348
170128  12 -0.024
170128  13  0.348
170128  14  0.355
170128  15  0.583
170128  16  0.871
170128  17  2.176
170128  18  2.195
170128  19  2.127
170128  20  2.560
170128  21  2.020
170128  22  1.494
170128  23  1.574
170128  24  1.719
170129  01  1.391
170129  02  1.192
170129  03  0.389
170129  04  0.517
170129  05  0.274
170129  06  0.111
170129  07  0.227
170129  08  0.745
170129  09  0.501
170129  10  0.479
170129  11  0.823
170129  12  1.118
170129  13  1.000
170129  14  1.007
170129  15  1.060
170129  16  1.123
170129  17  1.331
170129  18  1.125
170129  19  1.409
170129  20  1.259
170129  21  0.830
170129  22  0.857
170129  23  0.560
170129  24  0.600
170130  01  0.228
170130  02  0.118
170130  03 -0.079
170130  04 -0.314
170130  05  0.297
170130  06  0.831
170130  07  1.327
170130  08  2.165
