CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2020
VERSION          1.0
RELEASE_DATE     3-3-2021
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

200101  01  8.858
200101  02  5.192
200101  03  2.983
200101  04  1.650
200101  05  2.634
200101  06  2.527
200101  07 -0.444
200101  08 -2.232
200101  09 -1.718
200101  10 -1.702
200101  11 -1.245
200101  12 -0.943
200101  13 -0.569
200101  14 -0.138
200101  15 -0.127
200101  16  1.148
200101  17  1.805
200101  18  0.447
200101  19 -2.202
200101  20 -1.303
200101  21  0.940
200101  22  0.282
200101  23  1.293
200101  24  0.344
200102  01 -0.496
200102  02  0.755
200102  03 -0.496
200102  04 -0.465
200102  05 -0.175
200102  06 -0.428
200102  07  0.896
200102  08  3.479
200102  09  3.524
200102  10  2.374
200102  11  1.404
200102  12  1.417
200102  13  1.028
200102  14  0.501
200102  15  0.252
200102  16  0.288
200102  17 -0.174
200102  18  0.050
200102  19 -0.844
200102  20 -0.981
200102  21  0.527
200102  22 -0.132
200102  23  0.639
200102  24  1.345
200103  01  0.350
200103  02  0.177
200103  03  0.673
200103  04  0.850
200103  05  1.132
200103  06  1.078
200103  07  2.309
200103  08  1.904
200103  09  3.046
200103  10  2.557
200103  11  2.039
200103  12  1.652
200103  13  2.485
200103  14  3.627
200103  15  4.688
200103  16  1.792
200103  17  0.029
200103  18  2.144
200103  19  3.728
200103  20  4.649
200103  21  8.335
200103  22  8.578
200103  23  9.162
200103  24  7.217
200104  01  4.428
200104  02  3.377
200104  03  1.788
200104  04  1.301
200104  05  1.295
200104  06  0.658
200104  07  1.105
200104  08  0.723
200104  09  1.266
200104  10  2.701
200104  11  3.666
200104  12  2.513
200104  13  1.941
200104  14  2.229
200104  15  3.300
200104  16  4.449
200104  17  4.923
200104  18  4.589
200104  19  5.673
200104  20  6.694
200104  21  7.161
200104  22  8.026
200104  23  8.062
200104  24  8.400
200105  01  4.458
200105  02  3.713
200105  03  6.025
200105  04  4.472
200105  05  3.107
200105  06  1.730
200105  07  1.943
200105  08  2.481
200105  09  2.977
200105  10  1.994
200105  11  2.158
200105  12  1.799
200105  13  1.870
200105  14  2.996
200105  15  3.158
200105  16  1.527
200105  17  3.711
200105  18  3.005
200105  19  4.408
200105  20  3.621
200105  21  3.091
200105  22  2.385
200105  23  1.662
200105  24  0.758
200106  01 -0.041
200106  02 -0.259
200106  03  0.550
200106  04  0.635
200106  05  0.201
200106  06  1.550
200106  07  2.631
200106  08  4.510
