Sector;Subsector;Emissieoorzaak;Emissieoorzaak_code;Nic;Bedrijf;Straat;Huisnummer;Toevoeging;Postcode;Woonplaats;Xcoord;Ycoord;Sbi_code;Sbi_naam;Herkomst_code;Herkomst;Dataset;Jaar;Emissie;Eenheid
Chemische Industrie;Chemische Industrie overig;SBI 21.1 (per bedrijf): Vervaardiging van farmaceutische producten;T103100;204062;Intervet Schering-Plough Animal Health (De Bilt);Ambachtstraat;4;;3732CN;De Bilt;141194;457889;21200;Vervaardiging van farmaceutische producten (geen grondstoffen);01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;666;kg
Chemische Industrie;Chemische Industrie overig;SBI 21.1 (per bedrijf): Vervaardiging van farmaceutische producten;T103100;204062;Intervet Schering-Plough Animal Health (De Bilt);Ambachtstraat;4;;3732CN;De Bilt;141194;457889;21200;Vervaardiging van farmaceutische producten (geen grondstoffen);02;Milieujaarverslag, versie nog niet gevalideerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;73,9;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;679;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;424;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;2337;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;310;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;227020;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;183128;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;160913;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 64 (per bedrijf): Financiele dienstverlening (excl. verzekeringen en pensioenfondsen);T165202;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;44618;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203590;Arkema BV (Rotterdam);Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;46751;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;5986;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 46/47 (per bedrijf): Detail- en groothandel;T151100;203590;Arkema BV (Rotterdam);Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;46751;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;4537;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 46/47 (per bedrijf): Detail- en groothandel;T151100;203590;Arkema BV (Rotterdam);Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;46751;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;5628;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 46/47 (per bedrijf): Detail- en groothandel;T151100;203590;Arkema BV (Rotterdam);Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;46751;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;5596;kg
Afvalverwijdering;AVI's;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;T104201;203496;Reststoffen Energie Centrale (REC);Lange Lijnbaan;14;;8861NW;Harlingen;157800;578200;38210;Behandeling van onschadelijk afval;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;84969;kg
Afvalverwijdering;AVI's;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;T104201;203496;Reststoffen Energie Centrale (REC);Lange Lijnbaan;14;;8861NW;Harlingen;157800;578200;38210;Behandeling van onschadelijk afval;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;110340,4;kg
Afvalverwijdering;AVI's;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;T104201;203496;Reststoffen Energie Centrale (REC);Lange Lijnbaan;14;;8861NW;Harlingen;157800;578200;38210;Behandeling van onschadelijk afval;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;90025,4;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 49-53 (per bedrijf): Transport, communicatie;T103900;203587;Contitank BV;Melasseweg;1;;9936CX;Delfzijl;258399;594113;52101;Opslag in tanks;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;163;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 49-53 (per bedrijf): Transport, communicatie;T103900;203587;Contitank BV;Melasseweg;1;;9936CX;Delfzijl;258399;594113;52101;Opslag in tanks;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;328;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 49-53 (per bedrijf): Transport, communicatie;T103900;203587;Contitank BV;Melasseweg;1;;9936CX;Delfzijl;258399;594113;52101;Opslag in tanks;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;256;kg
Landbouw;Landbouwbedrijven;SBI 01 (per bedrijf): Landbouw, jacht en dienstverlening voor de landbouw en jacht;T107600;203493;A.C. Hartman BV;Juckemaleane;10;;8861NW;Sexbierum;161651;580654;01130;Teelt van groenten en wortel- en knolgewassen;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;8245;kg
Chemische Industrie;Chemische Industrie overig;SBI 20.6 (per bedrijf): Vervaardiging van synthetische en kunstmatige vezels;T103700;203530;Teijin Aramid BV (Emmen);1e bokslootslootweg;17;;7821AT;Emmen;257552;533045;20600;Vervaardiging van synthetische en kunstmatige vezels;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;1156,4;kg
Chemische Industrie;Chemische Industrie overig;SBI 20.6 (per bedrijf): Vervaardiging van synthetische en kunstmatige vezels;T103700;203530;Teijin Aramid BV (Emmen);1e bokslootslootweg;17;;7821AT;Emmen;257552;533045;20600;Vervaardiging van synthetische en kunstmatige vezels;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;1525,6;kg
Chemische Industrie;Chemische Industrie bestrijdingsmiddelen;SBI 20.2 (per bedrijf): Chemische bestrijdingsmiddelenindustrie;T102900;203589;Cerexagri BV;Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;20200;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;2044;kg
Chemische Industrie;Chemische Industrie bestrijdingsmiddelen;SBI 20.2 (per bedrijf): Chemische bestrijdingsmiddelenindustrie;T102900;203589;Cerexagri BV;Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;20200;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;1972;kg
Chemische Industrie;Chemische Industrie bestrijdingsmiddelen;SBI 20.2 (per bedrijf): Chemische bestrijdingsmiddelenindustrie;T102900;203589;Cerexagri BV;Tankhoofd;10;;3196KE;Vondelingenplaat Rotterdam;82620;434005;20200;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;2889;kg
Afvalverwijdering;Overige afvalbedrijven;SBI 38.3 (per bedrijf): Voorbereiding tot recycling;T107000;203888;A. Jansen B.V.;Kanaaldijk Zuid;24;;5691NL;Son;159056;390361;38320;Gesorteerd materiaal voorbereiden tot recycling;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;30090;kg
Afvalverwijdering;Overige afvalbedrijven;SBI 38.3 (per bedrijf): Voorbereiding tot recycling;T107000;203888;A. Jansen B.V.;Kanaaldijk Zuid;24;;5691NL;Son;159056;390361;38320;Gesorteerd materiaal voorbereiden tot recycling;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;29999;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202824;Eneco Warmteproductie Utrecht B.V.;Keulsekade;181;;3534AC;Utrecht;133894;457010;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;654889;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202824;Eneco Warmteproductie Utrecht B.V.;Keulsekade;181;;3534AC;Utrecht;133894;457010;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;133046;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202824;Eneco Warmteproductie Utrecht B.V.;Keulsekade;181;;3534AC;Utrecht;133894;457010;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;217293;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202824;Eneco Warmteproductie Utrecht B.V.;Keulsekade;181;;3534AC;Utrecht;133894;457010;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;169094;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202825;Eneco (Lage Weide);Atoomweg;7;- 9;3542AA;Utrecht;133424;457245;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;364138;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202825;Eneco (Lage Weide);Atoomweg;7;- 9;3542AA;Utrecht;133424;457245;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;395712;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202825;Eneco (Lage Weide);Atoomweg;7;- 9;3542AA;Utrecht;133424;457245;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;351902,7;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;202825;Eneco (Lage Weide);Atoomweg;7;- 9;3542AA;Utrecht;133424;457245;35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;246995;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220185;RWZI Delden;Morsweg;19;;7491ZD;Delden;246600;475500;38300;Voorbereiding tot recycling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1990;0,9;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220185;RWZI Delden;Morsweg;19;;7491ZD;Delden;246600;475500;38300;Voorbereiding tot recycling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;2000;1,4;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220185;RWZI Delden;Morsweg;19;;7491ZD;Delden;246600;475500;38300;Voorbereiding tot recycling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1995;3;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220185;RWZI Delden;Morsweg;19;;7491ZD;Delden;246600;475500;38300;Voorbereiding tot recycling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2005;1,4;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1990;18,3;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2019;6,9233;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1995;546,9054773;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;2000;381,0998336;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2010;13,2784;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2020;8,568;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2015;7,802;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220224;RWZI Geldermalsen;Trichtsevoetpad;4;;4191LA;Geldermalsen;147300;433177;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2005;291,0006656;kg
Overige industrie;Metaalelektro;SBI 30.1 (per bedrijf): Scheepsbouw;T108400;28177;Shipdock BV;Tt Vasumweg;131;;1033SG;Amsterdam;120591;491384;33150;Reparatie en onderhoud van schepen;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2005;29,91;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220245;RWZI Haastrecht;Galgoord;10;;2850AW;Haastrecht;113600;446200;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1990;2,2;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220245;RWZI Haastrecht;Galgoord;10;;2850AW;Haastrecht;113600;446200;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2010;0,5362;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220245;RWZI Haastrecht;Galgoord;10;;2850AW;Haastrecht;113600;446200;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2015;0,3621;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1990;28,2;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2015;2,0764;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2010;5,8225;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2020;3,3666;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2019;4,4723;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2005;8,5;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;2000;5,8;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220248;RWZI Hardenberg;Prugelweg;5;;7691PZ;Bergentheim;237908;506639;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1995;35,4;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220249;RWZI Hardinxveld-De Peulen;Rivierdijk;831;;3371EN;Hardinxveld-Giessendam;117200;426100;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2019;0,736;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220249;RWZI Hardinxveld-De Peulen;Rivierdijk;831;;3371EN;Hardinxveld-Giessendam;117200;426100;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1990;2,4;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220249;RWZI Hardinxveld-De Peulen;Rivierdijk;831;;3371EN;Hardinxveld-Giessendam;117200;426100;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2010;2,1585;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220249;RWZI Hardinxveld-De Peulen;Rivierdijk;831;;3371EN;Hardinxveld-Giessendam;117200;426100;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2015;0,9616;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2015;1,9322;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2019;1,7735;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1990;6,4;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2005;2,2;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;1995;5,5;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2010;3,4564;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;12;Geschat door CBS (RWZI);ER Reeks 1990-2020 Definitief;2020;1,7087;kg
Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;SBI 37: Afvalwaterinzameling en -behandeling;E400109;220251;RWZI Harlingen;Oude Trekweg;110;;8861KL;Harlingen;159485;576192;37000;Afvalwaterinzameling en -behandeling;24;WVO-info  (1990-2006);ER Reeks 1990-2020 Definitief;2000;2,5;kg
