CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2015
VERSION          1.0
RELEASE_DATE     4/3/2016
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

150115  06  0.012
150115  07  0.349
150115  08  0.764
150115  09  0.743
150115  10  0.704
150115  11  0.885
150115  12  1.542
150115  13  1.623
150115  14  2.023
150115  15  2.179
150115  16  2.121
150115  17  1.810
150115  18  1.761
150115  19  1.603
150115  20  0.827
150115  21  0.736
150115  22  0.744
150115  23  1.004
150115  24  0.619
150116  01  0.182
150116  02  0.153
150116  03  0.180
150116  04  0.293
150116  05  0.790
150116  06  1.419
150116  07  1.534
150116  08  1.831
150116  09  2.548
150116  10  2.157
150116  11  2.790
150116  12  1.312
150116  13  1.513
150116  14  1.056
150116  15  0.779
150116  16  1.472
150116  17  2.970
150116  18  3.204
150116  19  2.762
150116  20  4.049
150116  21  4.912
150116  22  3.148
150116  23  1.421
150116  24  1.050
150117  01  2.734
150117  02  3.491
150117  03  3.799
150117  04  3.567
150117  05  2.967
150117  06  3.643
150117  07  2.391
150117  08  0.722
150117  09  2.745
150117  10  2.572
150117  11  1.815
150117  12  0.480
150117  13  0.724
150117  14  0.506
150117  15  0.565
150117  16  0.854
150117  17  1.946
150117  18  1.610
150117  19  0.951
150117  20  1.258
150117  21  1.071
150117  22  0.426
150117  23  0.611
150117  24  0.822
150118  01  0.568
150118  02  0.553
150118  03  0.675
150118  04  0.306
150118  05  0.164
150118  06 -0.021
150118  07 -0.104
150118  08  0.258
150118  09  0.417
150118  10  0.949
150118  11  0.929
150118  12  0.858
150118  13  1.014
150118  14  1.474
150118  15  1.876
150118  16  1.739
150118  17  2.352
150118  18  1.712
150118  19  2.398
150118  20  2.403
150118  21  2.839
150118  22  2.238
150118  23  1.605
150118  24  1.838
150119  01  1.466
150119  02  1.255
150119  03  1.032
150119  04  0.184
150119  05  0.102
150119  06  0.906
150119  07  1.305
150119  08  1.369
150119  09  1.660
150119  10  1.541
150119  11  1.437
150119  12  1.761
150119  13  2.490
150119  14  3.758
150119  15  2.724
150119  16  2.145
150119  17  2.946
150119  18  3.341
150119  19  3.818
150119  20  3.948
150119  21  2.297
150119  22  1.368
150119  23  0.447
150119  24 -0.405
150120  01  0.064
150120  02 -0.285
150120  03 -0.346
150120  04 -1.208
150120  05 -0.682
150120  06  2.299
150120  07  2.099
150120  08  3.829
150120  09  4.733
150120  10  2.828
150120  11  2.106
150120  12  0.870
150120  13  0.069
150120  14  0.185
150120  15  1.144
150120  16  1.562
150120  17  2.659
150120  18  2.287
150120  19  1.516
150120  20  0.782
150120  21  0.441
150120  22  0.883
150120  23  0.551
150120  24  0.516
150121  01  0.089
150121  02 -0.120
150121  03  0.227
150121  04 -0.666
150121  05 -0.602
150121  06 -0.703
150121  07  0.289
150121  08  0.426
150121  09 -0.131
150121  10  0.469
150121  11  0.172
150121  12  0.285
150121  13  0.149
150121  14  0.352
